wall_time,cam_index,pipeline_ms
11:31:57.399,2,14112.3514
11:31:57.402,1,14091.9967
11:31:57.405,2,14094.4585
11:31:57.457,2,14053.8949
11:31:57.457,1,14055.8267
11:31:57.466,1,14060.2160
11:31:57.475,2,14065.8858
11:31:57.523,1,14100.8540
11:31:57.523,2,14058.8025
11:31:57.558,1,14093.8192
11:31:57.590,2,14120.6355
11:31:57.600,2,14059.0662
11:31:57.606,1,14065.2348
11:31:57.670,1,14116.3508
11:31:57.671,2,14116.5663
11:31:57.680,2,14071.2146
11:31:57.680,1,14071.4493
11:31:57.731,2,14112.4388
11:31:57.732,1,14116.1181
11:31:57.752,2,14078.0565
11:31:57.755,1,14081.0394
11:31:57.847,2,14060.0999
11:31:57.848,1,14144.7812
11:31:57.856,1,14068.0044
11:31:57.856,2,14065.6546
11:31:57.908,1,14113.4617
11:31:57.911,2,14113.0508
11:31:57.917,2,14021.2239
11:31:57.917,1,14021.5206
11:31:58.149,1,14247.3767
11:31:58.153,2,14251.4009
11:31:58.156,1,14247.9721
11:31:58.159,2,14249.3345
11:31:58.163,1,14213.9091
11:31:58.166,2,14212.5230
11:31:58.169,1,14114.0435
11:31:58.175,1,14115.0642
11:31:58.181,1,14110.7979
11:31:58.223,1,14106.3809
11:31:58.224,2,14166.7580
11:31:58.230,2,14163.4643
11:31:58.233,1,14082.8436
11:31:58.292,2,14218.6929
11:31:58.292,1,14059.1466
11:31:58.308,1,14069.2335
11:31:58.320,2,14202.8656
11:31:58.360,1,14065.4039
11:31:58.363,2,14212.7536
11:31:58.392,2,14154.1422
11:31:58.477,1,14173.5400
11:31:58.484,2,14241.8340
11:31:58.484,1,14078.1613
11:31:58.491,2,14193.8775
11:31:58.491,1,14081.1011
11:31:58.537,2,14230.8680
11:31:58.537,1,14120.8753
11:31:58.554,2,14146.1582
11:31:58.554,1,14088.7002
11:31:58.649,1,14114.0675
11:31:58.652,2,14238.7707
11:31:58.656,1,14114.6646
11:31:58.659,2,14238.7650
11:31:58.719,2,14254.2648
11:31:58.720,1,14113.9724
11:31:58.728,2,14192.8546
11:31:58.729,1,14107.4934
11:31:58.796,1,14120.9799
11:31:58.797,2,14250.9627
11:31:58.804,2,14198.7638
11:31:58.804,1,14101.0393
11:31:58.981,1,14185.4225
11:31:58.985,1,14183.1492
11:31:58.987,2,14362.3780
11:31:58.991,1,14128.5608
11:31:58.992,2,14317.7588
11:31:58.999,1,14023.2750
11:31:58.999,2,14209.2919
11:31:59.008,2,14211.8351
11:31:59.080,1,14092.8322
11:31:59.083,2,14282.1488
11:31:59.088,1,14062.2695
11:31:59.091,2,14106.5783
11:31:59.095,1,14054.4936
11:31:59.145,2,14158.5173
11:31:59.145,1,14099.6547
11:31:59.153,1,14058.5618
11:31:59.153,2,14164.3323
11:31:59.257,2,14232.3190
11:31:59.257,1,14131.3068
11:31:59.265,2,14237.1830
11:31:59.265,1,13976.5860
11:31:59.274,1,13980.2383
11:31:59.279,2,14234.0731
11:31:59.317,2,14192.1363
11:31:59.317,1,14016.8874
11:31:59.446,1,14139.7226
11:31:59.488,2,14360.8955
11:31:59.491,1,14102.9712
11:31:59.495,2,14207.3153
11:31:59.498,1,14104.3710
11:31:59.501,2,14210.9906
11:31:59.504,1,14103.2360
11:31:59.507,2,14206.5717
11:31:59.514,2,14202.8111
11:31:59.514,1,14053.5854
11:31:59.608,2,14220.8193
11:31:59.610,1,14136.0087
11:31:59.613,2,14221.9886
11:31:59.617,1,14076.9600
11:31:59.665,2,14269.4396
11:31:59.667,1,14121.7865
11:31:59.673,1,14070.5682
11:31:59.674,2,14211.8545
11:31:59.736,1,14108.2685
11:31:59.736,2,14271.8840
11:31:59.753,1,13932.2569
11:31:59.759,2,14217.7330
11:31:59.808,2,14262.1291
11:31:59.811,1,13982.9450
11:31:59.835,1,13948.0470
11:31:59.836,2,14233.0815
11:31:59.877,2,14256.1030
11:31:59.878,1,13981.7422
11:32:00.063,1,14161.1906
11:32:00.065,2,14242.7860
11:32:00.071,1,14164.2779
11:32:00.072,2,14243.5592
11:32:00.079,1,14164.3228
11:32:00.079,2,14191.4673
11:32:00.087,1,14138.2184
11:32:00.087,2,14196.7562
11:32:00.094,1,14081.4225
11:32:00.166,2,14265.5695
11:32:00.170,1,14146.6963
11:32:00.173,2,14267.2439
11:32:00.177,1,14047.1765
11:32:00.180,2,14234.5323
11:32:00.190,1,14052.6445
11:32:00.224,2,14276.2931
11:32:00.233,1,14089.4545
11:32:00.239,2,14226.7166
11:32:00.400,2,14373.1646
11:32:00.404,1,14214.5344
11:32:00.408,2,14276.3141
11:32:00.411,1,14110.7076
11:32:00.413,2,14279.7983
11:32:00.417,1,14104.1707
11:32:00.420,2,14238.2181
11:32:00.423,1,14104.9946
11:32:00.430,2,14240.3173
11:32:00.432,1,14067.6552
11:32:00.476,1,14090.8610
11:32:00.476,2,14176.2357
11:32:00.543,2,14230.6572
11:32:00.546,1,14073.8119
11:32:00.553,1,14067.5029
11:32:00.559,2,14243.2953
11:32:00.616,2,14251.6064
11:32:00.617,1,14085.5907
11:32:00.638,1,14097.9376
11:32:00.641,2,14170.2688
11:32:00.791,2,14317.7991
11:32:00.792,1,14203.3610
11:32:00.800,1,14179.4543
11:32:00.800,2,14315.4208
11:32:00.807,1,14129.7791
11:32:00.808,2,14273.8153
11:32:00.814,1,14112.4152
11:32:00.815,2,14248.8994
11:32:00.909,1,14158.6310
11:32:00.913,2,14325.1119
11:32:00.918,2,14241.7067
11:32:00.919,1,14083.4423
11:32:00.927,2,14247.1154
11:32:00.927,1,14081.9633
11:32:00.962,1,14043.5630
11:32:00.962,2,14253.1961
11:32:00.993,1,14066.4737
11:32:01.076,2,14330.8882
11:32:01.084,2,14247.7095
11:32:01.084,1,14115.9862
11:32:01.091,1,14106.2079
11:32:01.091,2,14172.3750
11:32:01.135,1,14095.9460
11:32:01.138,2,14206.0667
11:32:01.311,2,14373.9886
11:32:01.312,1,14254.6673
11:32:01.318,1,14059.8411
11:32:01.319,2,14349.5670
11:32:01.326,1,14061.8757
11:32:01.329,2,14344.2484
11:32:01.332,1,14058.5014
11:32:01.335,2,14295.0315
11:32:01.337,1,14057.9947
11:32:01.340,2,14081.9779
11:32:01.427,1,14140.5406
11:32:01.428,2,14163.7012
11:32:01.434,2,14160.9020
11:32:01.434,1,14106.6610
11:32:01.441,1,14092.8322
11:32:01.441,2,14161.1610
11:32:01.541,1,14108.7149
11:32:01.542,2,14256.0050
11:32:01.549,1,14109.9381
11:32:01.550,2,14224.0987
11:32:01.556,1,14056.1167
11:32:01.559,2,14228.8523
11:32:01.600,1,14092.7003
11:32:01.600,2,14251.3045
11:32:01.894,1,14328.7807
11:32:01.894,2,14461.8267
11:32:01.901,2,14462.2851
11:32:01.901,1,14310.3966
11:32:01.909,1,14284.6689
11:32:01.909,2,14409.1668
11:32:01.915,2,14404.4059
11:32:01.916,1,14217.0743
11:32:01.922,2,14352.3358
11:32:01.928,2,14336.5953
11:32:02.037,2,14413.5733
11:32:02.040,1,14334.8295
11:32:02.061,1,14290.5417
11:32:02.062,2,14362.6406
11:32:02.071,2,14356.7689
11:32:02.072,1,14289.8479
11:32:02.079,2,14308.6123
11:32:02.079,1,14245.7626
11:32:02.086,2,14304.8248
11:32:02.086,1,14230.0046
11:32:02.128,2,14294.2180
11:32:02.130,1,14159.8414
11:32:02.146,1,14091.5721
11:32:02.151,2,14180.7870
11:32:02.196,1,14135.5608
11:32:02.199,2,14224.1670
11:32:02.315,1,14248.6252
11:32:02.318,2,14264.8707
11:32:02.321,1,14248.9466
11:32:02.325,2,14261.6697
11:32:02.327,1,14209.6439
11:32:02.330,2,14261.6456
11:32:02.370,1,14227.5942
11:32:02.377,2,14262.0404
11:32:02.396,1,14166.0190
11:32:02.399,2,14280.3554
11:32:02.485,2,14256.2458
11:32:02.485,1,14249.0692
11:32:02.493,2,14260.6640
11:32:02.496,1,14205.0414
11:32:02.547,2,14308.0571
11:32:02.547,1,14245.9798
11:32:02.555,1,14150.1150
11:32:02.558,2,14266.9586
11:32:02.619,2,14313.2266
11:32:02.619,1,14207.2648
11:32:02.636,2,14229.5779
11:32:02.638,1,14214.2220
11:32:02.684,2,14271.1151
11:32:02.684,1,14212.0064
11:32:02.711,1,14177.9838
11:32:02.828,2,14368.5928
11:32:02.831,1,14288.5498
11:32:02.834,2,14362.5280
11:32:02.837,1,14186.4125
11:32:02.840,2,14302.6547
11:32:02.846,1,14189.5966
11:32:02.903,1,14236.2923
11:32:02.907,2,14359.6075
11:32:02.911,2,14259.7136
11:32:02.914,1,14206.2596
11:32:02.920,2,14265.0656
11:32:02.977,2,14309.7553
11:32:02.979,1,14083.8514
11:32:02.987,1,14085.1128
11:32:02.996,2,14288.4336
11:32:03.035,1,14035.8659
11:32:03.041,2,14145.6520
11:32:03.097,1,14093.5055
11:32:03.098,2,14196.0332
11:32:03.116,2,14117.2195
11:32:03.119,1,14111.9249
11:32:03.237,1,14226.3861
11:32:03.238,2,14228.5389
11:32:03.245,2,14232.0696
11:32:03.245,1,14189.0266
11:32:03.253,2,14232.7545
11:32:03.253,1,14188.7532
11:32:03.324,2,14267.7442
11:32:03.328,1,14095.1818
11:32:03.331,2,14265.5738
11:32:03.336,1,14100.0229
11:32:03.385,2,14151.9799
11:32:03.386,1,14143.6241
11:32:03.394,1,14147.9485
11:32:03.399,2,14158.7308
11:32:03.446,1,13998.4484
11:32:03.446,2,14199.9492
11:32:03.505,1,14053.4154
11:32:03.505,2,14253.9450
