wall_time,cam,rtp_seq,pipeline_ms,total_ms
11:29:44.520,2,32420,0.267,1.029
11:29:44.520,2,32421,0.267,1.037
11:29:44.520,2,32422,0.267,1.045
11:29:44.520,2,32423,0.267,1.054
11:29:44.520,2,32424,0.267,1.062
11:29:44.520,2,32425,0.267,1.070
11:29:44.520,2,32426,0.267,1.078
11:29:44.520,2,32427,0.267,1.086
11:29:44.520,2,32428,0.267,1.099
11:29:44.520,2,32429,0.267,1.107
11:29:44.521,2,32430,0.267,1.116
11:29:44.521,2,32431,0.267,1.124
11:29:44.521,2,32432,0.267,1.132
11:29:44.521,2,32433,0.267,1.142
11:29:44.521,2,32434,0.267,1.151
11:29:44.521,2,32435,0.267,1.160
11:29:44.521,2,32436,0.267,1.169
11:29:44.521,2,32437,0.267,1.178
11:29:44.521,2,32438,0.267,1.186
11:29:44.521,2,32439,0.267,1.194
11:29:44.521,2,32440,0.267,1.202
11:29:44.521,2,32441,0.267,1.210
11:29:44.521,2,32442,0.267,1.219
11:29:44.521,2,32443,0.267,1.227
11:29:44.521,2,32444,0.267,1.235
11:29:44.521,2,32445,0.267,1.244
11:29:44.521,2,32446,0.267,1.252
11:29:44.521,2,32447,0.267,1.261
11:29:44.521,2,32448,0.267,1.269
11:29:44.521,2,32449,0.267,1.278
11:29:44.521,2,32450,0.267,1.286
11:29:44.521,2,32451,0.267,1.294
11:29:44.521,2,32452,0.267,1.303
11:29:44.521,2,32453,0.267,1.311
11:29:44.521,2,32454,0.267,1.319
11:29:44.521,2,32455,0.267,1.327
11:29:44.521,2,32456,1.335,1.335
11:29:44.524,0,32108,1.016,0.044
11:29:44.524,0,32109,1.016,0.063
11:29:44.524,0,32110,1.016,0.074
11:29:44.524,0,32111,1.016,0.083
11:29:44.524,0,32112,1.016,0.092
11:29:44.524,0,32113,1.016,0.101
11:29:44.524,0,32114,1.016,0.110
11:29:44.524,0,32115,0.120,0.120
11:29:44.534,1,32592,0.773,0.086
11:29:44.534,1,32593,0.773,0.109
11:29:44.534,1,32594,0.773,0.120
11:29:44.534,1,32595,0.773,0.129
11:29:44.534,1,32596,0.773,0.137
11:29:44.534,1,32597,0.773,0.146
11:29:44.534,1,32598,0.773,0.154
11:29:44.534,1,32599,0.773,0.162
11:29:44.534,1,32600,0.773,0.170
11:29:44.534,1,32601,0.773,0.178
11:29:44.534,1,32602,0.773,0.186
11:29:44.534,1,32603,0.194,0.194
11:29:44.543,2,32457,1.335,1.673
11:29:44.543,2,32458,1.335,1.697
11:29:44.543,2,32459,1.335,1.710
11:29:44.543,2,32460,1.335,1.720
11:29:44.543,2,32461,1.335,1.729
11:29:44.543,2,32462,1.335,1.739
11:29:44.543,2,32463,1.335,1.748
11:29:44.543,2,32464,1.335,1.757
11:29:44.543,2,32465,1.335,1.766
