wall_time,cam,rtp_seq,passthrough_ms,dropped_packets
16:43:09.293,1,49612,0.378,0
16:43:09.293,1,49614,0.288,1
16:43:09.293,1,49615,0.389,0
16:43:09.293,1,49617,0.273,1
16:43:09.293,1,49618,0.333,0
16:43:09.294,1,49619,0.450,0
16:43:09.294,1,49620,0.537,0
16:43:09.294,1,49621,0.512,0
16:43:09.294,1,49622,0.410,0
16:43:09.294,1,49623,0.444,0
16:43:09.294,1,49624,0.389,0
16:43:09.294,1,49625,0.316,0
16:43:09.295,1,49626,0.446,0
16:43:09.295,2,38016,0.124,0
16:43:09.295,1,49627,0.555,0
16:43:09.295,1,49628,0.651,0
16:43:09.295,2,38017,0.436,0
16:43:09.296,1,49629,0.688,0
16:43:09.296,1,49631,0.600,1
16:43:09.296,1,49632,0.501,0
16:43:09.296,2,38018,1.357,0
16:43:09.297,1,49633,0.460,0
16:43:09.297,1,49634,0.205,0
16:43:09.297,1,49635,0.163,0
16:43:09.298,1,49636,0.157,0
16:43:09.298,1,49637,0.186,0
16:43:09.298,2,38020,2.465,1
16:43:09.298,1,49638,0.206,0
16:43:09.298,2,38025,0.820,4
16:43:09.299,1,49639,0.478,0
16:43:09.299,2,38026,1.043,0
16:43:09.299,2,38027,0.797,0
16:43:09.299,1,49640,0.488,0
16:43:09.299,2,38028,0.867,0
16:43:09.300,1,49641,0.191,0
16:43:09.300,2,38029,0.662,0
16:43:09.300,1,49642,0.195,0
16:43:09.300,2,38030,0.818,0
16:43:09.300,1,49643,0.181,0
16:43:09.300,2,38031,0.898,0
16:43:09.301,1,49644,0.177,0
16:43:09.301,1,49645,0.433,0
16:43:09.301,1,49647,0.469,1
16:43:09.301,1,49650,0.372,2
16:43:09.302,1,49651,0.553,0
16:43:09.302,1,49652,0.536,0
16:43:09.302,1,49653,0.558,0
16:43:09.302,1,49654,0.566,0
16:43:09.303,1,49656,0.399,1
16:43:09.303,1,49658,0.370,1
16:43:09.303,1,49659,0.546,0
16:43:09.303,1,49660,0.536,0
16:43:09.303,1,49661,0.561,0
