wall_time,iface,tx_mbps,rx_mbps
15:50:10,enp0s31f6,0.070,3.620
15:50:10,enx0c3796ba2d6a,0.081,3.433
15:50:10,enx0c3796ba2d67,0.089,4.117
15:50:11,enp0s31f6,0.103,4.745
15:50:11,enx0c3796ba2d6a,0.109,4.973
15:50:11,enx0c3796ba2d67,0.098,4.198
15:50:12,enp0s31f6,0.072,3.641
15:50:12,enx0c3796ba2d6a,0.071,3.417
15:50:12,enx0c3796ba2d67,0.097,4.175
15:50:13,enp0s31f6,0.101,4.945
15:50:13,enx0c3796ba2d6a,0.110,5.053
15:50:13,enx0c3796ba2d67,0.097,4.285
15:50:14,enp0s31f6,0.075,3.679
15:50:14,enx0c3796ba2d6a,0.077,3.442
15:50:14,enx0c3796ba2d67,0.098,4.407
15:50:15,enp0s31f6,0.102,4.993
15:50:15,enx0c3796ba2d6a,0.112,5.232
15:50:15,enx0c3796ba2d67,0.096,4.414
15:50:16,enp0s31f6,0.074,3.662
15:50:16,enx0c3796ba2d6a,0.076,3.335
15:50:16,enx0c3796ba2d67,0.092,4.225
15:50:17,enp0s31f6,0.105,4.941
15:50:17,enx0c3796ba2d6a,0.114,5.219
15:50:17,enx0c3796ba2d67,0.093,4.241
15:50:18,enp0s31f6,0.068,3.481
15:50:18,enx0c3796ba2d6a,0.069,3.300
15:50:18,enx0c3796ba2d67,0.095,4.332
15:50:19,enp0s31f6,0.109,5.003
15:50:19,enx0c3796ba2d6a,0.109,5.011
15:50:19,enx0c3796ba2d67,0.089,4.000
15:50:20,enp0s31f6,0.064,3.377
15:50:20,enx0c3796ba2d6a,0.070,3.328
15:50:20,enx0c3796ba2d67,0.094,4.238
15:50:21,enp0s31f6,0.104,5.180
15:50:21,enx0c3796ba2d6a,0.112,5.195
15:50:21,enx0c3796ba2d67,0.096,4.349
15:50:22,enp0s31f6,0.071,3.451
15:50:22,enx0c3796ba2d6a,0.072,3.295
15:50:22,enx0c3796ba2d67,0.092,4.170
15:50:23,enp0s31f6,0.105,5.004
15:50:23,enx0c3796ba2d6a,0.110,5.165
15:50:23,enx0c3796ba2d67,0.091,4.202
15:50:24,enp0s31f6,0.071,3.430
15:50:24,enx0c3796ba2d6a,0.075,3.303
15:50:24,enx0c3796ba2d67,0.097,4.309
15:50:25,enp0s31f6,0.105,5.116
15:50:25,enx0c3796ba2d6a,0.117,5.291
15:50:25,enx0c3796ba2d67,0.095,4.256
15:50:26,enp0s31f6,0.067,3.421
15:50:26,enx0c3796ba2d6a,0.071,3.250
15:50:26,enx0c3796ba2d67,0.096,4.270
15:50:27,enp0s31f6,0.106,5.132
15:50:27,enx0c3796ba2d6a,0.117,5.300
15:50:27,enx0c3796ba2d67,0.095,4.235
15:50:28,enp0s31f6,0.070,3.373
15:50:28,enx0c3796ba2d6a,0.067,3.194
15:50:28,enx0c3796ba2d67,0.091,4.088
15:50:29,enp0s31f6,0.104,5.091
15:50:29,enx0c3796ba2d6a,0.112,5.265
15:50:29,enx0c3796ba2d67,0.093,4.256
15:50:30,enp0s31f6,0.070,3.374
15:50:30,enx0c3796ba2d6a,0.070,3.196
15:50:30,enx0c3796ba2d67,0.090,4.212
15:50:31,enp0s31f6,0.097,4.956
15:50:31,enx0c3796ba2d6a,0.113,5.257
15:50:31,enx0c3796ba2d67,0.094,4.231
15:50:32,enp0s31f6,0.068,3.400
15:50:32,enx0c3796ba2d6a,0.071,3.183
15:50:32,enx0c3796ba2d67,0.092,4.213
15:50:33,enp0s31f6,0.104,4.941
15:50:33,enx0c3796ba2d6a,0.114,5.094
15:50:33,enx0c3796ba2d67,0.092,4.092
15:50:34,enp0s31f6,0.071,3.574
15:50:34,enx0c3796ba2d6a,0.071,3.226
15:50:34,enx0c3796ba2d67,0.093,4.171
15:50:35,enp0s31f6,0.106,5.027
15:50:35,enx0c3796ba2d6a,0.116,5.263
15:50:35,enx0c3796ba2d67,0.093,4.303
15:50:36,enp0s31f6,0.067,3.412
15:50:36,enx0c3796ba2d6a,0.069,3.216
15:50:36,enx0c3796ba2d67,0.092,4.263
15:50:37,enp0s31f6,0.108,5.116
15:50:37,enx0c3796ba2d6a,0.111,5.271
15:50:37,enx0c3796ba2d67,0.093,4.260
15:50:38,enp0s31f6,0.070,3.488
15:50:38,enx0c3796ba2d6a,0.070,3.185
15:50:38,enx0c3796ba2d67,0.093,4.094
15:50:39,enp0s31f6,0.097,4.797
15:50:39,enx0c3796ba2d6a,0.110,5.078
15:50:39,enx0c3796ba2d67,0.092,4.125
15:50:40,enp0s31f6,0.066,3.419
15:50:40,enx0c3796ba2d6a,0.068,3.246
15:50:40,enx0c3796ba2d67,0.093,4.307
15:50:41,enp0s31f6,0.107,4.992
15:50:41,enx0c3796ba2d6a,0.114,5.119
15:50:41,enx0c3796ba2d67,0.093,4.164
15:50:42,enp0s31f6,0.070,3.421
15:50:42,enx0c3796ba2d6a,0.070,3.266
15:50:42,enx0c3796ba2d67,0.093,4.039
15:50:43,enp0s31f6,0.098,4.718
15:50:43,enx0c3796ba2d6a,0.109,4.997
15:50:43,enx0c3796ba2d67,0.090,4.049
15:50:44,enp0s31f6,0.067,3.652
15:50:44,enx0c3796ba2d6a,0.072,3.291
15:50:44,enx0c3796ba2d67,0.098,4.343
15:50:45,enp0s31f6,0.091,4.628
15:50:45,enx0c3796ba2d6a,0.109,5.103
15:50:45,enx0c3796ba2d67,0.095,4.206
15:50:46,enp0s31f6,0.069,3.625
15:50:46,enx0c3796ba2d6a,0.068,3.254
15:50:46,enx0c3796ba2d67,0.095,4.306
15:50:47,enp0s31f6,0.104,4.932
15:50:47,enx0c3796ba2d6a,0.114,5.264
15:50:47,enx0c3796ba2d67,0.096,4.327
15:50:48,enp0s31f6,0.075,3.669
15:50:48,enx0c3796ba2d6a,0.069,3.285
15:50:48,enx0c3796ba2d67,0.094,4.313
15:50:49,enp0s31f6,0.092,4.644
15:50:49,enx0c3796ba2d6a,0.105,4.848
15:50:49,enx0c3796ba2d67,0.087,3.917
15:50:50,enp0s31f6,0.073,3.748
15:50:50,enx0c3796ba2d6a,0.071,3.357
15:50:50,enx0c3796ba2d67,0.093,4.121
15:50:51,enp0s31f6,0.097,4.573
15:50:51,enx0c3796ba2d6a,0.103,4.829
15:50:51,enx0c3796ba2d67,0.090,4.043
15:50:52,enp0s31f6,0.073,3.763
15:50:52,enx0c3796ba2d6a,0.077,3.483
15:50:52,enx0c3796ba2d67,0.093,4.260
15:50:53,enp0s31f6,0.094,4.457
15:50:53,enx0c3796ba2d6a,0.104,4.824
15:50:53,enx0c3796ba2d67,0.092,4.178
15:50:54,enp0s31f6,0.073,3.655
15:50:54,enx0c3796ba2d6a,0.073,3.479
15:50:54,enx0c3796ba2d67,0.095,4.292
15:50:55,enp0s31f6,0.109,4.948
15:50:55,enx0c3796ba2d6a,0.114,5.185
15:50:55,enx0c3796ba2d67,0.096,4.317
15:50:56,enp0s31f6,0.072,3.638
15:50:56,enx0c3796ba2d6a,0.071,3.432
15:50:56,enx0c3796ba2d67,0.094,4.255
15:50:57,enp0s31f6,0.099,4.878
15:50:57,enx0c3796ba2d6a,0.108,4.965
15:50:57,enx0c3796ba2d67,0.091,4.088
15:50:58,enp0s31f6,0.073,3.578
15:50:58,enx0c3796ba2d6a,0.077,3.409
15:50:58,enx0c3796ba2d67,0.091,4.083
15:50:59,enp0s31f6,0.104,4.895
15:50:59,enx0c3796ba2d6a,0.109,4.913
15:50:59,enx0c3796ba2d67,0.092,4.190
15:51:00,enp0s31f6,0.070,3.583
15:51:00,enx0c3796ba2d6a,0.074,3.456
15:51:00,enx0c3796ba2d67,0.096,4.296
15:51:01,enp0s31f6,0.104,4.880
15:51:01,enx0c3796ba2d6a,0.109,4.955
15:51:01,enx0c3796ba2d67,0.094,4.245
15:51:02,enp0s31f6,0.075,3.747
15:51:02,enx0c3796ba2d6a,0.077,3.458
15:51:02,enx0c3796ba2d67,0.093,4.195
15:51:03,enp0s31f6,0.092,4.619
