time_ns,gst_buffer_pts_ns,frame_seq,stage
39791729622619,33232097920,453,post_depay
39791739539029,33299692122,454,post_decode
39791761186427,33313165826,455,post_depay
39791772479922,33331050188,456,post_decode
39791776472659,33346418096,457,post_depay
39791787136888,33346541035,458,post_decode
39791791050163,33361014550,459,post_depay
39791800657184,33361122967,460,post_decode
39791925073117,33374725000,461,post_depay
39791938567014,33494983773,462,post_decode
39791942551073,33512550742,463,post_depay
39791951929607,33512640640,464,post_decode
39791956218374,33526088227,465,post_depay
39791966755732,33526275845,466,post_decode
39791971165707,33541118723,467,post_depay
39791982396855,33541322601,468,post_decode
39792056948704,33558682334,469,post_depay
39792068634549,33626970279,470,post_decode
39792072212896,33642298221,471,post_depay
39792081928707,33642398025,472,post_decode
39792085417050,33655471973,473,post_depay
39792094684245,33655600550,474,post_decode
39792098209390,33668296676,475,post_depay
39792109217206,33668396485,476,post_decode
39792159706828,33683212909,477,post_depay
39792170454800,33729824174,478,post_decode
39792174635941,33744561046,479,post_depay
39792184771746,33744799204,480,post_decode
39792188311799,33758395598,481,post_depay
39792197419706,33758486930,482,post_decode
39792326146229,33893019302,483,post_depay
39792446511562,33906732387,484,post_depay
39792453089114,34023155624,485,post_depay
39792460433543,34030558799,486,post_depay
39792466581619,34036718720,487,post_depay
39792473672239,34043789341,488,post_depay
39792528191408,34050474108,489,post_depay
39792535054434,34105038287,490,post_depay
39792542065148,34112145889,491,post_depay
39792549263309,34119298847,492,post_depay
39792575979349,34126650221,493,post_depay
39792611014813,34171889614,494,post_depay
39792641021955,34188100922,495,post_depay
39792648797255,34218807755,496,post_depay
39792655666774,34225749442,497,post_depay
39792663192502,34233307910,498,post_depay
39792745533791,34250960195,499,post_depay
39792754607721,34324884949,500,post_depay
39792760918621,34331317478,501,post_depay
39792786540836,34354907202,502,post_depay
39792852037382,34365681461,503,post_depay
39792869505596,34430586957,504,post_depay
39792878116456,34448408866,505,post_depay
39792886046014,34456296042,506,post_depay
39793048944624,34464999036,507,post_depay
39793056043173,34632699906,508,post_depay
39793062762374,34639434080,509,post_depay
39793069236490,34645915709,510,post_depay
39793076940153,34653540676,511,post_depay
39793084067247,34660733856,512,post_depay
39793163603849,34667974600,513,post_depay
39793171040595,34767342478,514,post_depay
39793178082671,34774400103,515,post_depay
39793185429378,34781754474,516,post_depay
39793193171649,34789363208,517,post_depay
39793255223901,34798881873,518,post_depay
39793291946655,34860329415,519,post_depay
39793299902467,34896202952,520,post_depay
39793307721529,34902452172,521,post_depay
39793315953906,34912240994,522,post_depay
39793322513405,34918870562,523,post_depay
39793496612329,34926147217,524,post_depay
39793506562131,35077261007,525,post_depay
39793521919513,35084518902,526,post_depay
39793606156930,35101304851,527,post_depay
39793615223619,35185975869,528,post_depay
39793623244927,35194001550,529,post_depay
39793631769975,35194107646,530,post_decode
39793804461150,35334916763,531,post_depay
39793811732426,35342138185,532,post_depay
39793819256471,35349676580,533,post_depay
39793874179214,35358307416,534,post_depay
39793882606433,35413105083,535,post_depay
39793891194659,35421684803,536,post_depay
39793899665017,35430182198,537,post_depay
39793944183166,35438653696,538,post_depay
39793958232323,35529186230,539,post_depay
39793966433426,35543062405,540,post_depay
39793973330499,35550038994,541,post_depay
39794189593018,35784431123,542,post_depay
39794198967939,35795747697,543,post_depay
39794206661043,35803450354,544,post_depay
39794214156328,35811012693,545,post_depay
39794271396706,35867803227,546,post_depay
39794280523373,35877339653,547,post_depay
39794287696936,35884467427,548,post_depay
39794330981916,35892619756,549,post_depay
39794337991720,35934827130,550,post_depay
39794345449229,35942236341,551,post_depay
39794353813912,35950686023,552,post_depay
39794360776140,35957558141,553,post_depay
39794469880222,36015829580,554,post_depay
39794476646981,36046727282,555,post_depay
39794481588067,36052366330,556,post_depay
39794486147228,36056926463,557,post_depay
39794490917462,36061703048,558,post_depay
39794537853468,36066225522,559,post_depay
39794546671736,36117218594,560,post_depay
39794561923632,36126519597,561,post_depay
39794677992542,36140758568,562,post_depay
39794687129304,36257389373,563,post_depay
39794695359731,36265872175,564,post_depay
39794703877371,36274392795,565,post_depay
39794712134664,36282651077,566,post_depay
39794833304474,36389260361,567,post_depay
39794840743139,36411265824,568,post_depay
39794953242897,36418828220,569,post_depay
39794962577779,36532737095,570,post_depay
39794969498337,36539601283,571,post_depay
39794977245002,36547384690,572,post_depay
39794988534696,36547499274,573,post_decode
39795341748028,36563085330,574,post_depay
39795379085635,36912234439,575,post_decode
39795384669440,36955786421,576,post_depay
39795394872918,36955962745,577,post_decode
39795399447964,36970476591,578,post_depay
39795415121870,36970727936,579,post_decode
39795419122348,36990233030,580,post_depay
39795430407730,36990405814,581,post_decode
39795434730892,37005919580,582,post_depay
39795444478907,37006031901,583,post_decode
39795448398670,37019575944,584,post_depay
39795462542708,37019706832,585,post_decode
39795618320375,37187257149,586,post_depay
39795628493989,37189457317,587,post_decode
39795631925118,37203044688,588,post_depay
39795644205797,37203157809,589,post_decode
39795651081968,37222180855,590,post_depay
39795661836655,37222300035,591,post_decode
39795688502015,37252865530,592,post_depay
39795704217953,37259555268,593,post_decode
39795708457193,37279566491,594,post_depay
39795723152583,37279681490,595,post_decode
39795731134719,37302242970,596,post_depay
39795746731997,37302361118,597,post_decode
39795751039718,37322103066,598,post_depay
39795764436405,37322247254,599,post_decode
39795824749538,37393487470,600,post_depay
39795836352778,37395593535,601,post_decode
39795839541915,37410718867,602,post_depay
39795848223102,37410806365,603,post_decode
39795851546118,37422744287,604,post_depay
39795860014471,37422838302,605,post_decode
39795863338432,37434498033,606,post_depay
39795874743280,37434622580,607,post_decode
39795878557564,37449686709,608,post_depay
39795888857476,37449824934,609,post_decode
39795901958863,37463767717,610,post_depay
39795915804466,37473176300,611,post_decode
39795920514503,37491634532,612,post_depay
39795931684597,37491769923,613,post_decode
39795956224171,37506655206,614,post_depay
39795967373210,37527324393,615,post_decode
39795970975666,37542153393,616,post_depay
39795981101816,37542259465,617,post_decode
39795984939127,37556091503,618,post_depay
39795995480940,37556208572,619,post_decode
39796131871985,37570306429,620,post_depay
39796142077852,37703812416,621,post_decode
39796145927629,37717903926,622,post_depay
39796156344991,37717994493,623,post_decode
39796163578165,37732492011,624,post_depay
39796175534125,37735549550,625,post_decode
39796180017473,37751907452,626,post_depay
39796190845990,37752016075,627,post_decode
39796229810793,37766736466,628,post_depay
39796241103990,37801863751,629,post_decode
39796244835163,37816786711,630,post_depay
39796255060862,37816892701,631,post_decode
39796258944877,37830872869,632,post_depay
39796272534003,37831002027,633,post_decode
39796359280378,37896995341,634,post_depay
39796371054317,37931167485,635,post_decode
39796380055439,37946623508,636,post_depay
39796390002164,37951983003,637,post_decode
39796393954388,37965764256,638,post_depay
39796403690377,37965922221,639,post_decode
39796411343868,37983152807,640,post_depay
39796421733038,37983271430,641,post_decode
39796540795695,37997249935,642,post_depay
39796552740450,38112779211,643,post_decode
39796557469655,38129330439,644,post_depay
39796570196649,38129445603,645,post_decode
39796574742841,38146574551,646,post_depay
39796590083167,38146705838,647,post_decode
39796735295481,38166191093,648,post_depay
39796750360130,38305943609,649,post_decode
39796755194321,38325726805,650,post_depay
39796767336402,38325846664,651,post_decode
39796955488624,38524678418,652,post_depay
39796985181672,38535920281,653,post_depay
39796993673706,38564939005,654,post_depay
39797092202783,38571440712,655,post_depay
39797099595818,38670640163,656,post_depay
39797137761731,38677734886,657,post_depay
39797144338771,38715371413,658,post_depay
39797354788977,38723239163,659,post_depay
39797416070121,38985328436,660,post_depay
39797424316389,38995607600,661,post_depay
39797431280371,39002610403,662,post_depay
39797438025490,39009339378,663,post_depay
39797445349102,39016646275,664,post_depay
39797452206418,39023522681,665,post_depay
39797503511626,39029389668,666,post_depay
39797509125487,39080454671,667,post_depay
39797515994714,39087200564,668,post_depay
39797524825055,39096055870,669,post_depay
39797628949570,39108733761,670,post_depay
39797635328536,39205702249,671,post_depay
39797640781674,39211205503,672,post_depay
39797645490464,39215870081,673,post_depay
39797945969747,39220707742,674,post_depay
39798069421373,39523236226,675,post_depay
