wall_time,cam_index,rtp_seq,network_ms
11:23:40.113,1,43079,425.7247
11:23:40.116,0,50369,295.7139
11:23:40.123,2,57661,345.5943
11:23:40.168,2,57672,341.3494
11:23:40.171,1,43091,421.2135
11:23:40.171,0,50381,350.1280
11:23:40.201,1,43104,446.2995
11:23:40.202,2,57684,367.2783
11:23:40.202,0,50393,375.3261
11:23:40.233,1,43116,407.2015
11:23:40.240,2,57696,354.6375
11:23:40.244,0,50403,397.9053
11:23:40.306,1,43127,471.3038
11:23:40.309,0,50414,423.8255
11:23:40.313,2,57707,384.8650
11:23:40.317,2,57721,334.2970
11:23:40.320,1,43139,434.9715
11:23:40.321,0,50423,394.4845
11:23:40.371,1,43150,445.1213
11:23:40.372,0,50432,389.3274
11:23:40.372,2,57733,376.4012
11:23:40.392,1,43162,415.3345
11:23:40.403,2,57747,360.6360
11:23:40.404,0,50442,403.9761
11:23:40.449,1,43175,449.0744
11:23:40.454,2,57759,347.6295
11:23:40.454,0,50452,411.2114
11:23:40.478,2,57772,354.3222
11:23:40.478,0,50462,370.0426
11:23:40.478,1,43189,435.5849
11:23:40.522,2,57784,354.4517
11:23:40.523,0,50473,406.7087
11:23:40.523,1,43202,453.0250
11:23:40.551,1,43213,438.7028
11:23:40.593,2,57797,391.7139
11:23:40.593,0,50483,422.2960
11:23:40.596,1,43226,425.7055
11:23:40.602,0,50493,399.8392
11:23:40.603,2,57809,362.9094
11:23:40.656,2,57823,342.2161
11:23:40.656,1,43239,454.7342
11:23:40.661,0,50502,416.1641
11:23:40.674,0,50511,365.4175
11:23:40.679,1,43251,445.4242
11:23:40.679,2,57836,362.2908
11:23:40.881,1,43263,575.9014
11:23:40.885,0,50520,564.2487
11:23:40.895,2,57849,523.6683
11:23:40.899,1,43276,579.1004
11:23:40.901,0,50529,529.4762
11:23:40.905,0,50540,501.1228
11:23:40.905,1,43288,533.7490
11:23:40.911,2,57863,507.7463
11:23:40.912,1,43302,520.8667
11:23:40.917,0,50550,462.9839
11:23:40.917,2,57875,463.5019
11:23:40.973,0,50560,495.0255
11:23:40.981,1,43314,531.4801
11:23:40.990,2,57886,512.6140
11:23:40.991,0,50570,468.0974
11:23:40.991,1,43327,513.1196
11:23:40.993,2,57899,470.6981
11:23:40.996,0,50580,402.8671
11:23:41.000,1,43340,477.1087
11:23:41.001,2,57911,407.5742
11:23:41.004,0,50591,402.3408
11:23:41.045,1,43353,493.6902
11:23:41.045,2,57924,442.2833
11:23:41.048,0,50602,387.1554
11:23:41.080,1,43365,483.5043
11:23:41.083,2,57937,427.2695
11:23:41.099,0,50613,425.0615
11:23:41.110,1,43378,453.9418
11:23:41.113,0,50731,228.1484
11:23:41.122,2,57950,442.5045
11:23:41.183,2,58079,287.7867
11:23:41.189,1,43390,509.8060
11:23:41.189,0,50743,287.8257
11:23:41.198,1,43530,316.3563
11:23:41.201,2,58095,289.9501
11:23:41.201,0,50757,295.9626
11:23:41.239,1,43545,339.6906
11:23:41.242,2,58109,324.3496
11:23:41.242,0,50769,325.1937
11:23:41.270,1,43559,364.7009
11:23:41.273,0,50780,300.1494
