wall_time,cam_index,full_ms,dropped
15:51:13.683,2,4.5446,0
15:51:13.702,0,3.0947,0
15:51:13.707,1,3.0219,0
15:51:13.707,2,3.7776,0
15:51:13.720,0,3.1126,0
15:51:13.728,2,4.1614,0
15:51:13.745,1,4.1983,0
15:51:13.759,0,2.9964,0
15:51:13.795,2,3.5128,0
15:51:13.804,0,3.8950,0
15:51:13.804,1,4.6460,0
15:51:13.808,2,5.2439,0
15:51:13.823,1,3.6537,0
15:51:13.834,0,3.0891,0
15:51:13.893,2,4.4695,0
15:51:13.893,1,4.1461,0
15:51:13.904,0,3.6259,0
15:51:13.912,1,4.0082,0
15:51:13.913,2,4.5245,0
15:51:13.926,0,3.7818,0
15:51:13.928,2,4.6098,0
15:51:13.965,1,3.6327,0
15:51:13.971,0,3.6406,0
15:51:13.974,2,5.3459,0
15:51:13.985,1,3.6592,0
15:51:13.990,0,3.2987,0
15:51:14.015,2,3.9835,0
15:51:14.025,1,3.2504,0
15:51:14.033,0,3.2517,0
15:51:14.052,2,4.7268,0
15:51:14.066,1,3.5069,0
15:51:14.072,0,3.0182,0
15:51:14.087,2,4.0363,0
15:51:14.096,1,3.0724,0
15:51:14.119,0,3.5040,0
15:51:14.129,2,3.5616,0
15:51:14.142,1,3.2669,0
15:51:14.160,0,2.8359,0
15:51:14.172,2,3.9499,0
15:51:14.195,1,3.4949,0
15:51:14.198,0,4.6088,0
15:51:14.208,2,3.5533,0
15:51:14.245,1,3.5304,0
15:51:14.251,0,3.3811,0
15:51:14.253,2,4.8728,0
15:51:14.258,1,4.5974,0
15:51:14.273,0,2.7809,0
15:51:14.286,2,3.7469,0
15:51:14.327,1,3.5081,0
15:51:14.333,0,4.0451,0
15:51:14.344,1,2.9321,0
15:51:14.345,2,4.2458,0
15:51:14.356,0,4.1330,0
15:51:14.382,2,4.5492,0
15:51:14.412,1,3.0303,0
15:51:14.418,0,3.7160,0
15:51:14.421,2,4.9593,0
15:51:14.424,1,3.6061,0
15:51:14.437,0,3.7572,0
15:51:14.443,2,3.7530,0
15:51:14.463,1,3.4276,0
15:51:14.499,2,3.6872,0
15:51:14.505,1,4.3139,0
15:51:14.592,2,3.9712,0
15:51:14.593,1,3.9678,0
15:51:14.598,0,16.2998,0
15:51:14.601,2,5.7370,0
15:51:14.601,1,5.7268,0
15:51:14.601,0,3.2695,0
15:51:14.608,0,6.8834,0
15:51:14.609,2,7.5544,0
15:51:14.614,0,5.5369,0
15:51:14.623,1,3.5210,0
15:51:14.634,0,3.0462,0
15:51:14.676,1,3.3451,0
15:51:14.676,2,4.0283,0
15:51:14.677,0,4.2037,0
15:51:14.686,2,3.6390,0
15:51:14.704,1,3.3120,0
15:51:14.718,0,2.8855,0
15:51:14.747,2,3.4777,0
15:51:14.753,1,3.2888,0
15:51:14.759,0,3.4996,0
15:51:14.769,2,3.6327,0
15:51:14.781,1,3.4950,0
15:51:14.794,0,2.9634,0
15:51:14.808,2,3.3290,0
15:51:14.839,1,3.3569,0
15:51:14.840,0,3.9045,0
15:51:14.850,2,3.3061,0
15:51:14.864,1,3.4622,0
15:51:14.886,2,3.7184,0
15:51:14.886,0,4.5135,0
15:51:14.928,1,3.7241,0
15:51:14.928,0,3.6882,0
15:51:14.934,1,4.0603,0
15:51:14.935,2,5.2353,0
15:51:14.950,0,2.8587,0
15:51:14.966,2,2.9959,0
15:51:15.015,1,4.0147,0
15:51:15.024,0,3.6821,0
15:51:15.027,1,4.0572,0
15:51:15.027,2,4.1202,0
15:51:15.035,0,3.1175,0
15:51:15.042,2,3.0550,0
15:51:15.095,1,3.2930,0
15:51:15.103,0,4.8427,0
15:51:15.103,2,4.3412,0
