abs_time,cam_index,frame_in,rtp_seq
1778609458.884573,2,812,37555
1778609458.910101,0,813,23137
1778609458.915424,2,813,37580
1778609458.921498,1,813,38983
1778609458.953872,0,814,23161
1778609458.958268,2,814,37601
1778609458.963692,1,814,39008
1778609458.998733,0,815,23189
1778609458.998842,1,815,39027
1778609459.005475,2,815,37625
1778609459.098881,0,816,23208
1778609459.099930,1,816,39053
1778609459.103024,2,816,37649
1778609459.103181,0,817,23233
1778609459.106185,1,817,39081
1778609459.106310,2,817,37676
1778609459.120273,0,818,23263
1778609459.179228,2,818,37699
1778609459.180169,1,818,39103
1778609459.181042,0,819,23280
1778609459.182578,1,819,39127
1778609459.183483,2,819,37716
1778609459.197613,0,820,23297
1778609459.201684,1,820,39142
1778609459.203044,2,820,37741
1778609459.236882,2,821,37761
1778609459.240458,0,821,23316
1778609459.244562,1,821,39161
1778609459.318856,2,822,37779
1778609459.320605,1,822,39180
1778609459.321380,0,822,23339
1778609459.338289,2,823,37803
1778609459.339952,0,823,23372
1778609459.350483,1,823,39203
1778609459.356430,1,824,39223
1778609459.361870,2,824,37824
1778609459.366426,0,824,23397
1778609459.395668,0,825,23425
1778609459.397454,2,825,37843
1778609459.405363,1,825,39244
1778609459.438673,0,826,23444
1778609459.446186,2,826,37865
1778609459.453663,1,826,39269
1778609459.477053,0,827,23470
1778609459.480928,2,827,37890
1778609459.485827,1,827,39291
1778609459.516437,1,828,39314
1778609459.517925,0,828,23497
1778609459.520623,2,828,37916
1778609459.547636,0,829,23521
1778609459.553842,2,829,37935
1778609459.561831,1,829,39332
1778609459.594468,0,830,23547
1778609459.598211,2,830,37963
1778609459.601903,1,830,39358
1778609459.639309,0,831,23571
1778609459.641545,2,831,37989
1778609459.644416,1,831,39387
1778609459.680228,0,832,23589
1778609459.680401,1,832,39409
1778609459.697695,2,832,38009
1778609459.710218,0,833,23608
1778609459.715501,2,833,38031
1778609459.721001,1,833,39430
1778609459.756233,0,834,23627
1778609459.760166,2,834,38052
1778609459.765341,1,834,39448
1778609459.795987,0,835,23648
1778609459.799082,2,835,38074
1778609459.803256,1,835,39465
1778609459.838080,1,836,39555
1778609459.839309,0,836,23668
1778609459.841524,2,836,38096
1778609459.870276,0,837,23689
1778609459.881557,2,837,38117
1778609459.896166,1,837,39570
1778609459.915256,0,838,23781
1778609459.923126,2,838,38217
1778609459.925486,1,838,39586
